,BALDWIN AND,,JOHNSON AND,,OBAMA AND BIDEN (D),,ROMNEY AND RYAN,
Overland Park 6-02,0,0.00%,13,1.63%,235,29.45%,549,68.80%
Overland Park 6-03,3,0.31%,6,0.63%,284,29.74%,660,69.11%
Overland Park 6-04,0,0.00%,11,1.15%,236,24.76%,704,73.87%
Overland Park 6-05,2,0.19%,10,0.96%,379,36.27%,650,62.20%
Overland Park 6-06,0,0.00%,0,0.00%,0,0.00%,1,100.00%
Overland Park 6-07,0,0.00%,1,0.38%,66,24.91%,196,73.96%
Overland Park 6-08,0,0.00%,7,0.62%,229,20.28%,888,78.65%
Overland Park 6-09,1,0.09%,15,1.30%,409,35.57%,725,63.04%
Overland Park 6-10,3,0.34%,19,2.13%,344,38.48%,526,58.84%
Overland Park 6-11,2,0.24%,8,0.94%,323,38.09%,512,60.38%
Overland Park 6-12,0,0.00%,9,2.36%,143,37.43%,228,59.69%
Overland Park 6-13,1,0.09%,12,1.13%,337,31.67%,711,66.82%
Overland Park 6-14,0,0.00%,0,0.00%,0,0.00%,3,100.00%
Overland Park 6-15,1,0.09%,11,1.00%,312,28.39%,775,70.52%
Overland Park 6-16,1,0.16%,7,1.14%,184,29.92%,422,68.62%
Overland Park 6-17,1,0.11%,5,0.57%,312,35.45%,560,63.64%
Overland Park 6-18,0,-,0,-,0,-,0,-
Overland Park 6-19,5,0.49%,10,0.99%,360,35.61%,633,62.61%
Overland Park 6-20,1,0.23%,4,0.92%,99,22.76%,331,76.09%
Overland Park 6-21,1,0.08%,8,0.67%,263,22.08%,913,76.66%
Overland Park 6-22,0,0.00%,3,0.87%,74,21.57%,266,77.55%
Overland Park 6-23,0,0.00%,4,2.25%,58,32.58%,115,64.61%
Oxford Twp 0-01,0,0.00%,0,0.00%,2,100.00%,0,0.00%
Oxford Twp 0-02,2,0.34%,9,1.52%,168,28.43%,410,69.37%
Oxford Twp 0-03,0,-,0,-,0,-,0,-
Oxford Twp 0-04,0,0.00%,7,1.38%,145,28.60%,351,69.23%
Oxford Twp 0-05,0,0.00%,0,0.00%,0,0.00%,15,100.00%
Oxford Twp 0-08,0,-,0,-,0,-,0,-
Oxford Twp 0-09,0,0.00%,1,2.86%,11,31.43%,23,65.71%
Oxford Twp 0-10,0,0.00%,0,0.00%,0,0.00%,2,100.00%
Oxford Twp 0-11,0,0.00%,2,1.68%,17,14.29%,100,84.03%
Prairie Village 1-01,1,0.11%,12,1.33%,451,49.89%,439,48.56%
Prairie Village 1-02,0,0.00%,7,1.06%,334,50.61%,318,48.18%
Prairie Village 1-03,0,0.00%,14,1.49%,497,52.76%,426,45.22%
Prairie Village 2-01,2,0.27%,10,1.33%,403,53.52%,336,44.62%
Prairie Village 2-02,3,0.70%,20,4.64%,212,49.19%,190,44.08%
Prairie Village 2-03,1,0.14%,16,2.19%,393,53.76%,319,43.64%
Prairie Village 3-01,1,0.18%,7,1.29%,260,47.88%,272,50.09%
Prairie Village 3-02,0,0.00%,10,1.21%,422,51.21%,386,46.84%
Prairie Village 3-03,0,0.00%,16,2.19%,385,52.60%,330,45.08%
Prairie Village 4-01,0,0.00%,9,1.12%,329,41.02%,464,57.86%
Prairie Village 4-02,2,0.35%,9,1.57%,280,48.87%,278,48.52%
Prairie Village 4-03,3,0.34%,11,1.25%,449,50.85%,418,47.34%
Prairie Village 5-01,0,0.00%,11,1.28%,373,43.52%,473,55.19%
Prairie Village 5-02,0,0.00%,8,0.97%,314,37.92%,499,60.27%
Prairie Village 5-03,1,0.16%,12,1.87%,272,42.43%,354,55.23%
Prairie Village 6-01,2,0.24%,16,1.89%,423,50.00%,404,47.75%
Prairie Village 6-02,0,0.00%,17,2.51%,379,55.98%,278,41.06%
Prairie Village 6-03,0,0.00%,12,2.33%,264,51.16%,235,45.54%
Roeland Park 1-01,0,0.00%,10,2.48%,247,61.14%,144,35.64%
Roeland Park 1-02,1,0.38%,5,1.88%,147,55.26%,112,42.11%
Roeland Park 1-03,0,-,0,-,0,-,0,-
Roeland Park 2-01,1,0.25%,10,2.53%,205,51.90%,175,44.30%
Roeland Park 2-02,0,0.00%,8,1.53%,278,53.05%,236,45.04%
Roeland Park 3-01,0,0.00%,6,1.71%,219,62.39%,126,35.90%
Roeland Park 3-02,2,0.33%,7,1.15%,346,56.63%,250,40.92%
Roeland Park 4-01,0,0.00%,10,3.58%,135,48.39%,132,47.31%
Roeland Park 4-02,1,0.13%,16,2.00%,439,54.94%,342,42.80%
Shawnee 1-01,6,0.67%,18,2.00%,388,43.11%,486,54.00%
Shawnee 1-02,2,0.32%,6,0.95%,268,42.61%,352,55.96%
Shawnee 1-03,7,1.09%,8,1.25%,297,46.41%,325,50.78%
Shawnee 1-04,4,0.38%,12,1.13%,389,36.73%,649,61.28%
Shawnee 1-05,2,0.18%,14,1.29%,452,41.66%,608,56.04%
Shawnee 1-06,2,0.25%,8,0.98%,279,34.19%,525,64.34%
Shawnee 1-07,0,0.00%,14,1.53%,374,40.74%,527,57.41%
Shawnee 1-08,4,0.39%,15,1.46%,387,37.61%,619,60.16%
Shawnee 1-09,0,0.00%,1,0.52%,123,64.40%,67,35.08%
Shawnee 1-10,1,0.33%,5,1.64%,88,28.85%,211,69.18%
Shawnee 1-11,1,0.14%,10,1.42%,262,37.22%,431,61.22%
Shawnee 1-12,0,0.00%,1,12.50%,3,37.50%,4,50.00%
Shawnee 2-01,4,0.95%,10,2.37%,198,46.92%,208,49.29%
Shawnee 2-02,3,0.40%,19,2.55%,316,42.47%,402,54.03%
Shawnee 2-03,1,0.14%,14,2.02%,376,54.34%,296,42.77%
Shawnee 2-04,2,0.22%,10,1.09%,433,47.12%,471,51.25%
Shawnee 2-05,4,0.85%,5,1.06%,208,44.26%,251,53.40%
Shawnee 2-06,2,0.33%,11,1.82%,232,38.41%,356,58.94%
Shawnee 2-07,1,0.18%,11,1.99%,263,47.64%,274,49.64%
Shawnee 2-08,2,0.40%,12,2.40%,229,45.71%,258,51.50%
Shawnee 2-09,2,0.41%,9,1.87%,224,46.47%,247,51.24%
Shawnee 2-10,1,0.23%,10,2.31%,216,50.00%,204,47.22%
Shawnee 2-11,4,0.64%,6,0.96%,284,45.37%,332,53.04%
Shawnee 2-12,3,1.36%,4,1.82%,132,60.00%,79,35.91%
Shawnee 2-13,0,0.00%,5,1.50%,166,49.85%,162,48.65%
Shawnee 3-01,2,0.32%,9,1.45%,207,33.39%,402,64.84%
Shawnee 3-02,2,0.18%,17,1.53%,380,34.14%,714,64.15%
Shawnee 3-03,1,0.11%,18,2.04%,304,34.47%,555,62.93%
Shawnee 3-04,1,0.13%,7,0.89%,254,32.27%,525,66.71%
Shawnee 3-05,0,0.00%,7,0.71%,303,30.58%,676,68.21%
Shawnee 3-06,1,0.11%,20,2.16%,395,42.75%,508,54.98%
Shawnee 3-07,2,0.19%,22,2.07%,391,36.75%,647,60.81%
Shawnee 3-08,1,0.10%,11,1.08%,362,35.70%,638,62.92%
Shawnee 3-09,3,0.53%,12,2.12%,148,26.15%,399,70.49%
Shawnee 4-01,0,0.00%,12,1.13%,412,38.94%,632,59.74%
Shawnee 4-02,1,0.16%,7,1.14%,244,39.74%,358,58.31%
Shawnee 4-03,2,0.73%,4,1.47%,110,40.29%,156,57.14%
Shawnee 4-04,2,0.51%,9,2.30%,235,59.95%,143,36.48%
Shawnee 4-05,2,0.23%,18,2.10%,375,43.76%,459,53.56%
Shawnee 4-06,3,0.42%,10,1.39%,280,38.89%,423,58.75%
Shawnee 4-07,1,0.09%,14,1.31%,389,36.46%,656,61.48%
Shawnee 4-08,0,0.00%,3,0.78%,141,36.43%,241,62.27%
Shawnee 4-09,0,0.00%,15,1.20%,493,39.38%,742,59.27%
Shawnee 4-10,0,-,0,-,0,-,0,-
Shawnee 4-11,2,0.29%,14,2.03%,317,46.01%,356,51.67%
Shawnee 4-12,0,-,0,-,0,-,0,-
Shawnee 4-13,0,0.00%,1,0.99%,42,41.58%,56,55.45%
Spring Hill 0-01,5,0.38%,29,2.21%,423,32.17%,854,64.94%
Spring Hill 0-02,0,-,0,-,0,-,0,-
Spring Hill 0-03,0,0.00%,2,4.76%,8,19.05%,32,76.19%
Spring Hill 0-04,0,-,0,-,0,-,0,-
Spring Hill Twp 0-01,3,0.33%,15,1.65%,249,27.39%,639,70.30%
Spring Hill Twp 0-02,0,0.00%,0,0.00%,1,50.00%,1,50.00%
Spring Hill Twp 0-03,1,1.08%,0,0.00%,31,33.33%,61,65.59%
Spring Hill Twp 0-04,0,0.00%,0,0.00%,5,27.78%,13,72.22%
Spring Hill Twp 0-05,0,0.00%,0,0.00%,7,53.85%,6,46.15%
Westwood 0-01,1,0.21%,13,2.70%,291,60.50%,174,36.17%
Westwood 0-02,1,0.22%,5,1.11%,250,55.68%,193,42.98%
Westwood Hills 0-01,0,0.00%,3,1.20%,145,58.23%,99,39.76%
Total,611,0.22%,4590,1.67%,110526,40.18%,158401,57.58%
City Ward,,,,,,,,
Aubry Township,4,0.16%,43,1.72%,665,26.62%,1778,71.18%
Bonner Springs Ward 4,0,-,0,-,0,-,0,-
De Soto,6,0.25%,49,2.07%,857,36.22%,1448,61.20%
Edgerton,2,0.30%,20,2.97%,227,33.68%,421,62.46%
Fairway Ward 1,1,0.16%,8,1.27%,277,44.11%,341,54.30%
Fairway Ward 2,0,0.00%,8,1.44%,268,48.38%,276,49.82%
Fairway Ward 3,0,0.00%,6,0.83%,323,44.86%,390,54.17%
Fairway Ward 4,2,0.33%,14,2.28%,370,60.36%,224,36.54%
Gardner,15,0.20%,187,2.50%,2637,35.27%,4597,61.49%
Gardner Township,3,0.29%,13,1.26%,305,29.55%,708,68.60%
Lake Quivira,0,0.00%,3,0.45%,216,32.19%,452,67.36%
Leawood Ward 1,5,0.13%,47,1.19%,1614,40.89%,2269,57.49%
Leawood Ward 2,9,0.19%,58,1.25%,1572,33.81%,3001,64.54%
Leawood Ward 3,10,0.18%,63,1.16%,1769,32.58%,3575,65.84%
Leawood Ward 4,6,0.10%,65,1.07%,1777,29.31%,4200,69.28%
Lenexa Ward 1,14,0.22%,110,1.75%,2611,41.48%,3535,56.16%
Lenexa Ward 2,8,0.13%,85,1.35%,2014,31.89%,4197,66.46%
Lenexa Ward 3,12,0.18%,140,2.12%,3025,45.78%,3409,51.60%
Lenexa Ward 4,16,0.27%,113,1.93%,2710,46.39%,2980,51.01%
Lexington Township,0,0.00%,14,1.76%,216,27.10%,566,71.02%
McCamish Township,4,0.71%,10,1.77%,139,24.60%,409,72.39%
Merriam Ward 1,7,0.60%,29,2.50%,632,54.44%,487,41.95%
Merriam Ward 2,6,0.51%,34,2.87%,613,51.82%,528,44.63%
Merriam Ward 3,2,0.16%,20,1.57%,698,54.66%,552,43.23%
Merriam Ward 4,8,0.51%,36,2.31%,765,49.07%,747,47.92%
Mission Hills,1,0.04%,20,0.84%,729,30.71%,1622,68.32%
Mission Ward 1,3,0.27%,34,3.02%,635,56.34%,448,39.75%
Mission Ward 2,3,0.29%,31,3.02%,571,55.71%,412,40.20%
Mission Ward 3,4,0.36%,34,3.04%,631,56.39%,440,39.32%
Mission Ward 4,3,0.21%,31,2.20%,736,52.27%,633,44.96%
Mission Woods,0,0.00%,3,2.68%,54,48.21%,54,48.21%
Olathe Township,3,0.52%,8,1.38%,195,33.74%,371,64.19%
Olathe Ward 1,45,0.34%,251,1.89%,4988,37.50%,7975,59.96%
Olathe Ward 2,38,0.27%,268,1.87%,5329,37.20%,8637,60.28%
Olathe Ward 3,35,0.20%,259,1.51%,5896,34.34%,10911,63.56%
Olathe Ward 4,30,0.25%,257,2.17%,4999,42.15%,6521,54.99%
Overland Park Ward 1,53,0.41%,308,2.39%,6885,53.32%,5586,43.26%
Overland Park Ward 2,41,0.26%,309,1.96%,7484,47.39%,7898,50.02%
Overland Park Ward 3,31,0.20%,240,1.54%,6856,44.13%,8352,53.76%
Overland Park Ward 4,16,0.11%,163,1.10%,5021,33.86%,9596,64.72%
Overland Park Ward 5,24,0.17%,184,1.30%,5696,40.15%,8258,58.21%
Overland Park Ward 6,23,0.14%,172,1.06%,4943,30.44%,11058,68.10%
Oxford Township,2,0.16%,19,1.49%,343,26.99%,901,70.89%
Prairie Village Ward 1,1,0.04%,33,1.32%,1282,51.16%,1183,47.21%
Prairie Village Ward 2,6,0.31%,46,2.40%,1008,52.64%,845,44.13%
Prairie Village Ward 3,1,0.05%,33,1.57%,1067,50.83%,988,47.07%
Prairie Village Ward 4,5,0.22%,29,1.28%,1058,46.86%,1160,51.37%
Prairie Village Ward 5,1,0.04%,31,1.33%,959,41.23%,1326,57.01%
Prairie Village Ward 6,2,0.10%,45,2.21%,1066,52.28%,917,44.97%
Roeland Park Ward 1,1,0.15%,15,2.24%,394,58.81%,256,38.21%
Roeland Park Ward 2,1,0.11%,18,1.96%,483,52.56%,411,44.72%
Roeland Park Ward 3,2,0.21%,13,1.35%,565,58.73%,376,39.09%
Roeland Park Ward 4,1,0.09%,26,2.41%,574,53.25%,474,43.97%
Shawnee Ward 1,29,0.35%,112,1.35%,3310,39.96%,4804,57.99%
Shawnee Ward 2,29,0.41%,126,1.80%,3277,46.83%,3540,50.59%
Shawnee Ward 3,13,0.16%,123,1.55%,2744,34.47%,5064,63.61%
Shawnee Ward 4,13,0.18%,107,1.44%,3038,41.00%,4222,56.98%
Spring Hill,5,0.37%,31,2.28%,431,31.76%,886,65.29%
Spring Hill Township,4,0.39%,15,1.45%,293,28.31%,720,69.57%
Westwood,2,0.22%,18,1.94%,541,58.17%,367,39.46%
Westwood Hills,0,0.00%,3,1.20%,145,58.23%,99,39.76%
Total,611,0.22%,4590,1.67%,110526,40.18%,158401,57.58%
Municipality,,,,,,,,
Bonner Springs,0,-,0,-,0,-,0,-
De Soto,6,0.25%,49,2.07%,857,36.22%,1448,61.20%
Edgerton,2,0.30%,20,2.97%,227,33.68%,421,62.46%
Fairway,3,0.12%,36,1.43%,1238,49.22%,1231,48.95%
Gardner,15,0.20%,187,2.50%,2637,35.27%,4597,61.49%
Lake Quivira,0,0.00%,3,0.45%,216,32.19%,452,67.36%
Leawood,30,0.15%,233,1.16%,6732,33.51%,13045,64.94%
Lenexa,50,0.20%,448,1.79%,10360,41.34%,14121,56.35%
Merriam,23,0.44%,119,2.30%,2708,52.28%,2314,44.67%
Mission,13,0.28%,130,2.78%,2573,54.99%,1933,41.31%
Mission Hills,1,0.04%,20,0.84%,729,30.71%,1622,68.32%
Mission Woods,0,0.00%,3,2.68%,54,48.21%,54,48.21%
Olathe,148,0.26%,1035,1.83%,21212,37.44%,34044,60.09%
Overland Park,188,0.21%,1376,1.54%,36885,41.22%,50748,56.71%
Prairie Village,16,0.12%,217,1.65%,6440,49.00%,6419,48.84%
Roeland Park,5,0.14%,72,1.98%,2016,55.55%,1517,41.80%
Shawnee,84,0.27%,468,1.53%,12369,40.35%,17630,57.52%
Spring Hill,5,0.37%,31,2.28%,431,31.76%,886,65.29%
Westwood,2,0.22%,18,1.94%,541,58.17%,367,39.46%
Westwood Hills,0,0.00%,3,1.20%,145,58.23%,99,39.76%
No Matching District,20,0.26%,122,1.57%,2156,27.73%,5453,70.13%
Total,611,0.22%,4590,1.67%,110526,40.18%,158401,57.58%
